,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
2,200,50.0,False,24,14,7.42,9842.0,2093.0,4087,2002.0,"Comedy,Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,202,26.0,False,23,14,7.8,131424.0,965.0,713,2003.0,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",1,1,0,0,1,1,0,1,0,1,0,0,0,0
6,204,12.0,False,24,14,6.08,12731.0,8879.0,4081,2004.0,"Action,Comedy,Ecchi",1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,205,26.0,False,24,18,8.51,626153.0,125.0,108,2004.0,"Action,Adventure,Comedy",1,1,0,1,0,0,0,0,0,0,0,0,0,0
8,206,27.0,False,25,14,7.13,11350.0,3522.0,3785,1998.0,"Action,Adventure,Drama,Fantasy,Romance",1,1,0,0,1,1,0,0,1,0,0,0,0,0
11,209,26.0,False,25,14,7.52,28656.0,1722.0,2538,2003.0,"Action,Adventure,Comedy,Drama,Sci-Fi",1,1,0,1,1,0,0,0,0,1,0,0,0,0
12,210,161.0,False,24,16,7.76,119585.0,1039.0,935,1989.0,"Action,Comedy,Fantasy,Ecchi",1,0,0,1,0,1,0,0,0,0,0,0,0,0
20,218,26.0,False,23,14,7.5,19710.0,1780.0,2914,1996.0,"Action,Romance,Sci-Fi",1,0,0,0,0,0,0,0,1,1,0,0,0,0
24,222,13.0,False,24,16,6.65,8492.0,5805.0,4505,2004.0,"Action,Adventure,Comedy,Mystery,Sci-Fi",1,1,0,1,0,0,0,1,0,1,0,0,0,0
0,223,153.0,False,24,14,7.96,655687.0,660.0,148,1986.0,"Action,Adventure,Comedy,Fantasy",1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,225,64.0,False,24,14,6.49,418650.0,6699.0,334,1996.0,"Action,Adventure,Comedy,Fantasy",1,1,0,1,0,1,0,0,0,0,0,0,0,0
2,226,13.0,False,25,16,7.47,864174.0,1891.0,71,2004.0,"Action,Drama,Horror,Romance,Supernatural",1,0,0,0,1,0,1,0,1,0,0,0,1,0
4,228,26.0,False,25,18,7.61,132307.0,1427.0,643,2005.0,"Horror,Mystery,Supernatural",0,0,0,0,0,0,1,1,0,0,0,0,1,0
5,229,12.0,False,24,18,6.89,16025.0,4601.0,3665,2004.0,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,230,27.0,False,24,18,6.96,16042.0,4298.0,3473,2003.0,"Action,Comedy",1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,231,26.0,False,12,10,6.1,2476.0,8748.0,6856,2002.0,"Action,Comedy,Fantasy",1,0,0,1,0,1,0,0,0,0,0,0,0,0
8,232,70.0,False,25,10,8.17,216595.0,392.0,507,1998.0,"Adventure,Comedy,Drama,Fantasy,Romance",0,1,0,1,1,1,0,0,1,0,0,0,0,0
9,233,78.0,False,25,0,7.67,11471.0,1261.0,4277,2000.0,"Comedy,Sci-Fi",0,0,0,1,0,0,0,0,0,1,0,0,0,0
10,234,26.0,False,24,0,6.63,1690.0,5926.0,8717,2004.0,"Adventure,Sports",0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,236,26.0,False,23,14,6.59,6947.0,6142.0,5111,2003.0,"Action,Adventure,Drama,Sci-Fi,Supernatural",1,1,0,0,1,0,0,0,0,1,0,0,1,0
13,237,50.0,False,24,14,8.05,181241.0,548.0,504,2005.0,"Adventure,Drama,Romance,Sci-Fi",0,1,0,0,1,0,0,0,1,1,0,0,0,0
14,238,42.0,False,23,14,7.34,27958.0,2438.0,2590,1997.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,239,24.0,False,24,18,8.13,73636.0,446.0,949,2004.0,"Award Winning,Drama,Mystery,Sci-Fi,Supernatural,Suspense",0,0,1,0,1,0,0,1,0,1,0,0,1,1
16,240,12.0,False,25,14,7.63,70653.0,1346.0,1307,2004.0,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,241,11.0,False,23,16,6.37,71689.0,7351.0,1502,2004.0,"Comedy,Fantasy,Romance,Ecchi",0,0,0,1,0,1,0,0,1,0,0,0,0,0
18,242,13.0,False,23,18,7.4,21015.0,2189.0,3176,2004.0,"Comedy,Drama,Slice of Life",0,0,0,1,1,0,0,0,0,0,1,0,0,0
